"","cits","conds","X1","X2","X3","X4","X5","X6"
"45","Manchester","ang",0.258258461214691,0.0628149143432986,0.0359543010752688,0.0210526315789474,0.0159345391903531,0.0099009900990099
"46","Manchester","hat",0.237280794900118,0.0440040309035942,0.0231854838709677,0.0162988115449915,0.0129198966408269,0.0099009900990099
"47","Manchester","hyp",0.106324176234427,0.355055424924421,0.292674731182796,0.236332767402377,0.19250645994832,0.181518151815182
"48","Manchester","str",0.305873212357941,0.0366140409808532,0.0174731182795699,0.0115449915110357,0.00559862187769164,0.00495049504950495
"49","Middlesborough","ang",0.250221667023212,0.0698590381426202,0.0402482979575491,0.0193423597678917,0.0144787644787645,0.0127041742286751
"50","Middlesborough","hat",0.206555689587455,0.0487147595356551,0.0274329195034041,0.0206318504190845,0.0119047619047619,0.0108892921960073
"51","Middlesborough","hyp",0.091215908427389,0.354892205638474,0.296756107328795,0.245003223726628,0.191441441441441,0.172413793103448
"52","Middlesborough","str",0.203949588158457,0.0257048092868988,0.0168201842210653,0.0101010101010101,0.00611325611325611,0.00725952813067151
"53","Newcastle","ang",0.259450513997726,0.0753587165292057,0.0385715920796612,0.021105527638191,0.0127174116326912,0.0133060388945752
"54","Newcastle","hat",0.227915343820647,0.0509546943848153,0.0282705734233719,0.0167085427135678,0.0115952870768655,0.0102354145342886
"55","Newcastle","hyp",0.0971908665253086,0.366173313749859,0.303765594597688,0.233165829145729,0.195436693472975,0.175025588536336
"56","Newcastle","str",0.230354680810078,0.02937521184047,0.0163671740872153,0.00967336683417085,0.00691976809425846,0.00307062436028659
"57","Nottingham","ang",0.278624820605683,0.0586045228902372,0.031196749246297,0.015881708652793,0.0107713021734949,0.0104961832061069
"58","Nottingham","hat",0.218872272316415,0.0406784335355764,0.0255603617774282,0.015881708652793,0.0113483362185036,0.00477099236641221
"59","Nottingham","hyp",0.09130202681719,0.338803088803089,0.286669288242234,0.240142387732749,0.1888824773995,0.168893129770992
"60","Nottingham","str",0.239373731923481,0.0264754550468836,0.0154672958448027,0.00807776560788609,0.00615502981342566,0.00954198473282443
"61","Oxford","ang",0.359361150984855,0.0482406356413167,0.0309859154929577,0.0150462962962963,0.0124843945068664,0.00748663101604278
"62","Oxford","hat",0.359956307014022,0.036322360953462,0.0211267605633803,0.0104166666666667,0.00936329588014981,0.00855614973262032
"63","Oxford","hyp",0.12728091451306,0.314415437003405,0.270774647887324,0.221354166666667,0.179463171036205,0.157219251336898
"64","Oxford","str",0.465518534252484,0.0295119182746879,0.0172535211267606,0.0083912037037037,0.00374531835205993,0.00213903743315508
"65","Reading","ang",0.39973841212554,0.0453130404704255,0.0242364532019704,0.0180671063951821,0.0101476014760148,0.00994644223412395
"66","Reading","hat",0.262150828226468,0.0290556900726392,0.0208866995073892,0.0172067679954115,0.00962045334739062,0.00994644223412395
"67","Reading","hyp",0.149934622049299,0.342096160498098,0.286502463054187,0.241898480068827,0.190695835529784,0.168706962509564
