State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke
West Virginia,Unknown,47.65,83.65,9.23,10.02,6.1
Wisconsin,18-31000,48.93,84.4,8.47,8.27,5.33
Wisconsin,31-52000,39.75,87.14,4.17,5.68,3.94
Wisconsin,52-100000,36.34,88.81,4.06,4.26,2.08
Wisconsin,<18000,47.18,79.96,10.02,9.39,8.14
Wisconsin,>100000,27.84,91.17,2.42,3.29,0.75
Wisconsin,Unknown,38.36,87.07,3.74,4.31,3.16
Wyoming,18-31000,46.84,85.41,11.43,9.16,6.48
Wyoming,31-52000,44.96,88.94,7.09,6.67,3.12
Wyoming,52-100000,39.27,90.15,4.42,5.3,3.16
Wyoming,<18000,49.68,77.42,14.19,10.0,9.68
Wyoming,>100000,30.33,91.7,3.51,2.43,1.5
Wyoming,Unknown,43.0,85.99,9.3,6.76,5.39
