State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Ohio,>100000,32.82,92.45,3.21,3.36,1.45,8.57,25.59,3.25,9.51
Ohio,Unknown,45.87,88.13,7.45,6.64,6.26,17.06,41.96,11.11,11.79
Oklahoma,18-31000,56.7,85.78,10.36,9.88,8.14,19.48,47.04,14.43,14.76
Oklahoma,31-52000,51.21,90.07,6.51,6.84,4.3,14.79,38.74,7.62,11.81
Oklahoma,52-100000,46.59,90.29,7.4,6.59,4.28,14.45,31.91,6.13,11.21
Oklahoma,<18000,58.6,81.89,15.83,11.87,12.94,23.44,51.75,23.59,22.07
Oklahoma,>100000,36.46,92.75,4.48,4.55,1.92,11.09,26.65,3.55,10.23
Oklahoma,Unknown,44.32,80.48,7.12,6.48,5.76,13.52,38.16,10.8,12.96
Oregon,18-31000,44.23,82.82,7.72,8.38,6.8,16.18,40.58,10.12,18.67
Oregon,31-52000,39.82,87.57,4.64,5.09,4.19,13.62,35.93,5.69,14.82
Oregon,52-100000,37.27,89.06,3.74,3.88,2.45,11.51,35.83,5.04,15.68
Oregon,<18000,42.82,77.62,6.81,5.35,6.81,18.98,44.28,16.3,26.76
Oregon,>100000,28.55,91.81,1.88,2.9,1.38,6.96,24.35,2.97,15.29
Oregon,Unknown,36.14,80.89,4.67,5.09,5.5,13.08,33.44,6.85,15.58
Pennsylvania,18-31000,45.79,84.48,7.8,8.27,5.93,17.94,45.63,12.17,13.65
Pennsylvania,31-52000,38.73,84.08,6.06,4.79,3.66,14.93,38.03,7.18,12.68
Pennsylvania,52-100000,34.64,88.98,4.9,5.26,3.43,9.67,31.46,6.61,13.95
Pennsylvania,<18000,47.31,82.2,11.71,8.2,8.9,18.97,51.29,19.91,22.72
Pennsylvania,>100000,28.34,88.95,2.43,2.83,1.78,6.84,24.46,3.02,11.24
Pennsylvania,Unknown,38.61,84.7,6.56,5.62,4.47,12.49,36.32,7.91,15.3
Puerto Rico,18-31000,48.18,86.07,3.77,7.53,1.79,17.27,27.32,4.48,16.5
Puerto Rico,31-52000,41.12,89.72,1.87,4.67,0.62,12.77,19.94,3.74,12.77
Puerto Rico,52-100000,47.59,97.33,3.21,4.28,2.67,9.63,18.18,3.74,13.9
Puerto Rico,<18000,54.13,85.21,6.87,10.37,2.88,24.4,35.25,5.91,18.64
Puerto Rico,>100000,39.76,96.99,3.01,5.42,1.81,13.25,16.87,4.22,16.87
Puerto Rico,Unknown,48.49,81.83,4.88,8.93,2.7,22.43,30.84,4.67,14.85
Rhode Island,18-31000,49.63,87.8,8.0,7.58,4.78,15.83,40.73,12.37,15.83
Rhode Island,31-52000,44.22,92.08,5.07,5.55,2.54,12.04,39.62,6.97,14.1
Rhode Island,52-100000,40.29,92.02,3.72,4.65,0.93,10.37,34.97,5.72,15.56
Rhode Island,<18000,52.96,85.66,12.62,10.52,8.22,22.18,46.46,20.08,23.14
Rhode Island,>100000,32.09,95.1,3.0,4.03,1.38,7.32,26.73,3.17,14.8
Rhode Island,Unknown,43.06,87.34,5.91,4.85,3.56,12.36,39.65,8.57,14.86
South Carolina,18-31000,54.57,85.69,8.79,7.65,6.72,20.13,42.36,12.0,13.79
South Carolina,31-52000,44.55,87.67,5.25,6.06,3.13,15.12,36.58,7.36,10.76
South Carolina,52-100000,41.46,90.23,4.15,5.41,2.81,12.16,33.94,4.92,9.7
South Carolina,<18000,61.86,81.86,12.24,9.62,9.62,23.88,49.2,19.41,20.08
South Carolina,>100000,37.44,94.4,2.76,4.18,2.35,8.76,26.29,3.0,9.41
South Carolina,Unknown,50.94,87.35,6.85,6.66,6.61,17.14,42.97,10.01,12.7
South Dakota,18-31000,46.72,83.48,9.19,9.25,5.91,16.13,41.45,9.9,12.92
South Dakota,31-52000,39.63,85.16,7.22,6.71,2.54,11.79,34.45,6.3,9.15
South Dakota,52-100000,37.63,89.07,5.38,5.47,1.79,9.41,27.33,4.48,9.68
South Dakota,<18000,51.1,73.35,12.22,10.82,9.42,19.24,48.3,15.83,18.24
South Dakota,>100000,27.66,90.27,2.85,3.61,1.46,6.93,22.19,2.62,9.38
South Dakota,Unknown,43.19,79.72,6.51,6.06,5.01,13.47,35.63,6.21,12.5
Tennessee,18-31000,54.23,85.34,10.44,8.26,8.58,20.42,45.45,15.81,16.2
Tennessee,31-52000,49.35,89.53,8.32,8.61,5.74,15.78,37.16,8.03,12.2
Tennessee,52-100000,45.95,92.18,4.41,5.55,2.84,14.94,35.42,8.53,13.23
Tennessee,<18000,64.2,87.76,15.26,11.93,13.75,25.68,62.39,29.15,24.32
Tennessee,>100000,36.06,95.23,2.97,3.96,1.8,9.35,26.98,3.96,8.99
Tennessee,Unknown,49.92,86.69,8.14,7.63,6.27,15.93,43.73,11.95,13.39
Texas,18-31000,45.32,79.92,7.72,7.64,6.13,18.4,32.52,10.32,13.02
Texas,31-52000,45.19,86.73,6.17,6.23,4.32,15.06,32.72,7.53,11.17
Texas,52-100000,40.82,89.29,4.46,5.67,3.3,14.24,28.43,5.73,11.29
Texas,<18000,48.33,76.56,9.3,8.42,9.49,23.95,39.72,15.59,18.98
Texas,>100000,34.85,92.12,3.22,4.21,1.99,9.42,22.74,3.45,10.46
Texas,Unknown,43.38,82.55,7.03,5.69,5.41,15.87,35.06,9.17,13.61
Utah,18-31000,34.31,72.96,6.36,4.92,4.14,11.76,32.72,7.76,15.37
Utah,31-52000,30.06,77.53,3.58,3.44,2.53,10.04,24.72,4.42,14.75
Utah,52-100000,27.92,82.61,2.78,2.18,2.56,8.94,26.34,3.49,12.6
